,ValueType,value,Iteration,Variable,Model,Dataset,DataType
37,time,5.033551216125488,7,50%,Active_Uncertainty,german,numeric
38,time,4.997153282165527,8,50%,Active_Uncertainty,german,numeric
39,time,4.986483097076416,9,50%,Active_Uncertainty,german,numeric
0,accuracy,0.6153225556210631,0,10%,Active_QBC,german,numeric
1,accuracy,0.6272189349112427,1,10%,Active_QBC,german,numeric
2,accuracy,0.5990447461035695,2,10%,Active_QBC,german,numeric
3,accuracy,0.6554487179487178,3,10%,Active_QBC,german,numeric
4,accuracy,0.6775638581776592,4,10%,Active_QBC,german,numeric
5,accuracy,0.6219830493562862,5,10%,Active_QBC,german,numeric
6,accuracy,0.6434551364128829,6,10%,Active_QBC,german,numeric
7,accuracy,0.6227697034148647,7,10%,Active_QBC,german,numeric
8,accuracy,0.5398601398601399,8,10%,Active_QBC,german,numeric
9,accuracy,0.627194204513792,9,10%,Active_QBC,german,numeric
10,time,12.144494771957396,0,10%,Active_QBC,german,numeric
11,time,12.008235692977905,1,10%,Active_QBC,german,numeric
12,time,11.999972343444824,2,10%,Active_QBC,german,numeric
13,time,12.007181167602539,3,10%,Active_QBC,german,numeric
14,time,11.946397066116333,4,10%,Active_QBC,german,numeric
15,time,12.112735271453856,5,10%,Active_QBC,german,numeric
16,time,11.918038845062256,6,10%,Active_QBC,german,numeric
17,time,11.983662843704224,7,10%,Active_QBC,german,numeric
18,time,12.155356884002686,8,10%,Active_QBC,german,numeric
19,time,12.11183214187622,9,10%,Active_QBC,german,numeric
20,accuracy,0.5496503496503495,0,50%,Active_QBC,german,numeric
21,accuracy,0.5759573998454918,1,50%,Active_QBC,german,numeric
22,accuracy,0.6256814921090388,2,50%,Active_QBC,german,numeric
23,accuracy,0.611439842209073,3,50%,Active_QBC,german,numeric
24,accuracy,0.6017526777020448,4,50%,Active_QBC,german,numeric
25,accuracy,0.653353057199211,5,50%,Active_QBC,german,numeric
26,accuracy,0.6657233349951611,6,50%,Active_QBC,german,numeric
27,accuracy,0.5672863762743282,7,50%,Active_QBC,german,numeric
28,accuracy,0.6374217180668793,8,50%,Active_QBC,german,numeric
29,accuracy,0.6801442831977182,9,50%,Active_QBC,german,numeric
30,time,14.10236406326294,0,50%,Active_QBC,german,numeric
31,time,14.030913352966307,1,50%,Active_QBC,german,numeric
